Villages of each kind in district,,,,,,,
District_Code,1. Under-Developed,%,2. Moderately-Developed,%,3. Developed,%,Grand Total
479,682,0.650142993,163,0.155386082,204,0.194470925,1049
480,316,0.447592068,234,0.331444759,156,0.220963173,706
481,539,0.593612335,212,0.233480176,157,0.172907489,908
482,295,0.613305613,20,0.041580042,166,0.345114345,481
483,540,0.744827586,77,0.106206897,108,0.148965517,725
484,1079,0.852290679,64,0.050552923,123,0.097156398,1266
485,642,0.879452055,55,0.075342466,33,0.045205479,730
486,1224,0.745886654,237,0.144424132,180,0.109689214,1641
487,493,0.860383944,59,0.102966841,21,0.036649215,573
488,523,0.715458276,85,0.11627907,123,0.168262654,731
489,312,0.993630573,,0,2,0.006369427,314
