Count of Villages in Different Districts,,,,,,,
District_Code,1. Under-Developed,%,2. Moderately-Developed,%,3. Developed,%,Grand Total
375,2001,93%,33,2%,111,5%,2145
376,3388,88%,227,6%,218,6%,3833
377,2326,84%,265,10%,188,7%,2779
378,1248,95%,19,1%,50,4%,1317
379,1383,95%,11,1%,67,5%,1461
380,1148,90%,13,1%,114,9%,1275
381,1762,88%,19,1%,214,11%,1995
382,1518,91%,26,2%,116,7%,1660
383,1040,91%,22,2%,75,7%,1137
384,1554,89%,36,2%,155,9%,1745
385,1493,94%,19,1%,75,5%,1587
386,1312,85%,17,1%,207,13%,1536
387,1559,93%,15,1%,104,6%,1678
388,2698,87%,58,2%,363,12%,3119
389,1345,87%,61,4%,136,9%,1542
390,2390,98%,15,1%,41,2%,2446
391,1080,95%,24,2%,33,3%,1137
392,864,96%,5,1%,29,3%,898
393,1693,92%,37,2%,102,6%,1832
394,634,92%,23,3%,32,5%,689
395,2065,95%,19,1%,86,4%,2170
396,2457,96%,14,1%,76,3%,2547
397,867,95%,9,1%,35,4%,911
398,1909,94%,13,1%,101,5%,2023
399,991,96%,8,1%,32,3%,1031
400,637,82%,11,1%,129,17%,777
401,1478,74%,230,12%,281,14%,1989
402,752,91%,19,2%,54,7%,825
403,1417,88%,35,2%,162,10%,1614
404,695,82%,15,2%,133,16%,843
405,1024,90%,12,1%,104,9%,1140
406,1529,80%,56,3%,317,17%,1902
407,971,91%,21,2%,70,7%,1062
408,1474,84%,91,5%,182,10%,1747
409,1974,85%,30,1%,327,14%,2331
410,2210,87%,38,1%,305,12%,2553
411,1041,86%,47,4%,129,11%,1217
412,569,77%,45,6%,127,17%,741
413,1016,88%,19,2%,120,10%,1155
414,1035,84%,80,6%,122,10%,1237
415,379,97%,,0%,13,3%,392
416,560,86%,1,0%,87,13%,648
417,541,98%,3,1%,6,1%,550
418,530,93%,1,0%,41,7%,572
419,800,85%,5,1%,134,14%,939
420,928,85%,10,1%,158,14%,1096
421,620,79%,5,1%,158,20%,783
422,609,89%,2,0%,75,11%,686
423,1325,92%,4,0%,111,8%,1440
424,1012,92%,4,0%,82,7%,1098
425,1198,88%,3,0%,160,12%,1361
426,987,93%,4,0%,65,6%,1056
427,1926,90%,21,1%,198,9%,2145
428,1209,93%,6,0%,79,6%,1294
429,1523,76%,271,13%,216,11%,2010
430,2184,83%,182,7%,267,10%,2633
431,604,91%,3,0%,57,9%,664
432,705,83%,5,1%,136,16%,846
433,913,84%,7,1%,166,15%,1086
434,1038,83%,16,1%,200,16%,1254
435,1058,81%,9,1%,237,18%,1304
436,1103,86%,7,1%,178,14%,1288
437,1026,79%,5,0%,262,20%,1293
438,1360,81%,42,2%,286,17%,1688
439,474,55%,15,2%,369,43%,858
440,1173,87%,7,1%,163,12%,1343
441,695,84%,9,1%,119,14%,823
442,1706,90%,16,1%,173,9%,1895
443,1513,90%,9,1%,150,9%,1672
444,467,77%,3,0%,138,23%,608
445,930,78%,22,2%,233,20%,1185
446,1344,83%,10,1%,257,16%,1611
447,1293,85%,29,2%,193,13%,1515
448,344,60%,11,2%,222,38%,577
449,715,66%,34,3%,330,31%,1079
450,899,90%,8,1%,88,9%,995
451,1159,71%,65,4%,401,25%,1625
452,904,78%,30,3%,220,19%,1154
453,906,97%,1,0%,28,3%,935
454,1211,93%,9,1%,82,6%,1302
455,1935,87%,16,1%,271,12%,2222
456,1477,90%,71,4%,94,6%,1642
457,1256,89%,22,2%,134,9%,1412
458,1273,93%,5,0%,98,7%,1376
459,823,92%,2,0%,73,8%,898
460,822,87%,8,1%,115,12%,945
461,593,87%,4,1%,82,12%,679
462,1055,97%,2,0%,32,3%,1089
463,744,96%,,0%,31,4%,775
464,772,91%,5,1%,75,9%,852
465,537,91%,1,0%,53,9%,591
466,678,82%,15,2%,133,16%,826
467,270,77%,10,3%,71,20%,351
468,526,55%,62,6%,371,39%,959
469,1134,87%,27,2%,146,11%,1307
470,365,65%,43,8%,157,28%,565
471,341,50%,22,3%,313,46%,676
472,990,68%,87,6%,384,26%,1461
473,137,37%,5,1%,227,62%,369
474,351,52%,30,4%,289,43%,670
475,605,83%,11,2%,116,16%,732
476,457,46%,86,9%,452,45%,995
477,518,64%,44,5%,247,31%,809
478,136,59%,36,16%,57,25%,229
479,467,45%,193,18%,389,37%,1049
480,223,32%,114,16%,369,52%,706
481,556,61%,19,2%,333,37%,908
482,227,47%,22,5%,232,48%,481
483,543,75%,19,3%,163,22%,725
484,1014,80%,66,5%,186,15%,1266
485,685,94%,6,1%,39,5%,730
486,1238,75%,54,3%,349,21%,1641
487,512,89%,21,4%,40,7%,573
488,386,53%,40,5%,305,42%,731
489,232,74%,38,12%,44,14%,314
490,195,44%,12,3%,232,53%,439
491,375,69%,4,1%,161,30%,540
492,361,41%,52,6%,457,53%,870
493,383,81%,16,3%,73,15%,472
494,2,11%,,0%,16,89%,18
495,5,12%,,0%,38,88%,43
496,56,62%,,0%,35,38%,91
497,808,78%,111,11%,117,11%,1036
498,665,83%,32,4%,107,13%,804
499,1491,78%,68,4%,348,18%,1907
500,1149,74%,168,11%,236,15%,1553
501,794,75%,80,8%,186,18%,1060
502,572,72%,109,14%,111,14%,792
503,1198,62%,269,14%,474,24%,1941
504,637,56%,177,16%,318,28%,1132
505,1053,53%,229,12%,702,35%,1984
506,294,34%,341,40%,228,26%,863
507,441,46%,336,35%,177,19%,954
508,1408,90%,71,5%,86,5%,1565
509,1252,74%,143,8%,305,18%,1700
510,1671,81%,140,7%,256,12%,2067
511,1422,77%,174,9%,256,14%,1852
512,509,68%,145,19%,93,12%,747
513,823,83%,43,4%,123,12%,989
514,679,64%,270,25%,119,11%,1068
515,1197,78%,102,7%,239,16%,1538
516,1639,71%,279,12%,392,17%,2310
517,1401,54%,218,8%,970,37%,2589
518,11,19%,,0%,48,81%,59
519,2,5%,,0%,39,95%,41
520,884,41%,387,18%,869,41%,2140
521,679,29%,655,28%,1035,44%,2369
522,1150,61%,316,17%,404,22%,1870
523,1270,82%,99,6%,176,11%,1545
524,803,74%,129,12%,156,14%,1088
525,712,80%,74,8%,103,12%,889
526,990,68%,241,17%,222,15%,1453
527,191,10%,1058,54%,702,36%,1951
528,274,17%,345,21%,1041,63%,1660
529,59,7%,144,18%,616,75%,819
530,108,7%,255,17%,1114,75%,1477
531,189,21%,293,33%,413,46%,895
532,1568,90%,13,1%,155,9%,1736
533,751,80%,14,1%,174,19%,939
534,871,76%,94,8%,186,16%,1151
535,954,67%,153,11%,309,22%,1416
536,,0%,30,3%,951,97%,981
537,524,32%,159,10%,954,58%,1637
538,1426,90%,13,1%,139,9%,1578
539,921,77%,62,5%,220,18%,1203
540,862,80%,77,7%,136,13%,1075
541,862,69%,34,3%,361,29%,1257
542,1705,94%,5,0%,109,6%,1819
543,1471,91%,,0%,144,9%,1615
544,2986,90%,7,0%,326,10%,3319
545,927,56%,32,2%,703,42%,1662
546,216,20%,11,1%,855,79%,1082
547,289,25%,10,1%,876,75%,1175
548,378,38%,14,1%,603,61%,995
549,909,79%,11,1%,230,20%,1150
550,1055,87%,4,0%,159,13%,1218
551,812,69%,139,12%,227,19%,1178
552,820,74%,29,3%,253,23%,1102
553,884,79%,43,4%,190,17%,1117
554,1415,83%,9,1%,290,17%,1714
555,1308,76%,11,1%,397,23%,1716
556,794,86%,1,0%,126,14%,921
557,766,92%,,0%,66,8%,832
558,641,85%,6,1%,108,14%,755
559,891,91%,6,1%,85,9%,982
560,633,91%,5,1%,58,8%,696
561,470,88%,3,1%,62,12%,535
562,390,75%,19,4%,113,22%,522
563,603,40%,255,17%,661,44%,1519
564,626,69%,92,10%,183,20%,901
565,620,79%,51,7%,110,14%,781
566,904,82%,150,14%,49,4%,1103
567,635,66%,239,25%,90,9%,964
568,286,17%,1180,72%,178,11%,1644
569,5,1%,57,15%,309,83%,371
570,391,33%,643,55%,144,12%,1178
571,2444,86%,281,10%,107,4%,2832
572,134,16%,325,39%,366,44%,825
573,1199,78%,217,14%,124,8%,1540
574,1817,69%,557,21%,250,10%,2624
575,,0%,151,25%,465,75%,616
576,25,7%,65,18%,278,76%,368
577,984,68%,282,19%,187,13%,1453
578,437,81%,72,13%,32,6%,541
579,1003,89%,1,0%,122,11%,1126
580,554,93%,1,0%,40,7%,595
581,1391,78%,189,11%,211,12%,1791
582,1151,78%,174,12%,160,11%,1485
583,115,11%,698,64%,277,25%,1090
584,681,72%,183,19%,78,8%,942
585,44,12%,6,2%,331,87%,381
586,22,8%,11,4%,231,88%,264
587,,0%,,0%,17,100%,17
588,2,1%,29,13%,192,86%,223
589,1,0%,45,11%,370,89%,416
590,,0%,6,8%,68,92%,74
591,,0%,8,3%,287,97%,295
592,,0%,61,17%,305,83%,366
593,4,1%,110,36%,194,63%,308
594,,0%,84,14%,501,86%,585
595,,0%,83,17%,397,83%,480
596,5,5%,22,23%,69,72%,96
597,,0%,35,15%,193,85%,228
598,,0%,53,18%,244,82%,297
599,,0%,76,48%,83,52%,159
600,,0%,94,39%,146,61%,240
601,,0%,109,31%,244,69%,353
602,579,47%,49,4%,602,49%,1230
603,1,1%,,0%,155,99%,156
604,953,54%,35,2%,792,44%,1780
605,917,57%,47,3%,651,40%,1615
606,1113,84%,30,2%,188,14%,1331
607,1495,84%,21,1%,267,15%,1783
608,964,74%,32,2%,300,23%,1296
609,523,62%,73,9%,246,29%,842
610,661,53%,72,6%,507,41%,1240
611,161,45%,34,9%,166,46%,361
612,565,66%,46,5%,245,29%,856
613,277,60%,10,2%,175,38%,462
614,551,63%,24,3%,301,34%,876
615,190,81%,3,1%,41,18%,234
616,219,84%,2,1%,41,16%,262
617,854,68%,29,2%,381,30%,1264
618,475,64%,10,1%,257,35%,742
619,510,67%,16,2%,238,31%,764
620,787,61%,18,1%,492,38%,1297
621,749,80%,15,2%,177,19%,941
622,504,63%,34,4%,262,33%,800
623,565,57%,33,3%,386,39%,984
624,336,54%,14,2%,271,44%,621
625,705,77%,6,1%,205,22%,916
626,405,65%,28,4%,192,31%,625
627,478,54%,26,3%,374,43%,878
628,718,55%,76,6%,520,40%,1314
629,34,3%,481,40%,699,58%,1214
630,528,80%,16,2%,112,17%,656
631,594,75%,25,3%,171,22%,790
632,462,38%,69,6%,689,56%,1220
633,441,54%,66,8%,316,38%,823
634,,0%,,0%,11,100%,11
635,52,33%,1,1%,106,67%,159
636,,0%,,0%,15,100%,15
637,13,27%,1,2%,35,71%,49
638,17,24%,,0%,54,76%,71
639,142,74%,6,3%,45,23%,193
640,38,29%,1,1%,94,71%,133
Grand Total,476521,,69651,,144219,,690391
