village_code,predicted_y_resnet,predicted_y_inception,actual_y
256223,1,2,1
260808,1,1,1
222416,1,1,1
518128,0,1,1
555214,2,2,2
255214,0,0,0
538660,0,0,0
613720,2,2,2
550802,0,2,1
547149,2,0,0
557532,0,2,2
618223,2,2,1
223914,1,1,1
605414,2,2,2
556158,0,2,1
259517,0,0,0
551987,0,0,0
429940,0,0,0
414257,0,0,0
381704,0,0,0
244105,0,2,2
509204,2,2,2
221915,1,1,1
564994,2,2,2
543288,0,0,1
549910,2,2,2
403104,0,0,1
220910,1,1,1
221597,0,1,1
546349,2,2,1
508789,2,2,2
385804,0,0,0
618320,2,2,1
383187,0,0,0
507401,2,2,2
246141,1,1,1
227309,1,1,1
392652,0,0,1
424363,0,1,1
510923,2,0,2
554942,2,2,2
508911,2,2,2
414362,0,2,2
523692,2,2,2
397021,1,1,1
419708,1,1,1
512719,2,2,2
259410,0,0,0
238546,1,1,1
251905,1,1,1
217097,1,1,1
430862,0,1,1
615651,2,2,2
420839,0,2,1
251113,1,1,1
518704,0,2,1
614896,0,0,0
541301,0,0,1
549435,2,2,2
400502,0,1,1
626524,2,2,2
401656,0,0,0
221809,1,1,1
390485,0,0,1
258891,0,1,0
535774,2,2,2
392492,1,1,1
396719,0,1,1
508876,2,2,2
239343,1,1,1
408755,1,1,1
617023,2,2,2
234705,1,1,1
227807,1,1,1
543436,2,0,2
234503,1,1,1
540208,0,2,1
411273,1,1,1
427213,0,0,0
520307,0,2,1
390098,0,0,1
236481,1,1,1
406980,0,0,0
538206,0,2,1
535739,2,2,2
388466,0,0,1
423898,0,1,1
548233,2,2,2
510203,2,2,2
418777,0,0,0
552006,0,0,0
606977,2,2,2
394200,1,1,1
516660,2,2,2
244524,1,1,1
563389,0,2,1
244854,0,1,2
536701,0,2,2
228148,1,1,1
609068,0,0,0
422375,1,1,1
410343,0,0,1
427912,1,1,1
560673,2,2,2
253304,1,1,1
549912,0,2,2
260871,1,1,1
568528,0,2,2
250774,1,1,1
531512,2,2,2
393037,1,1,1
226479,1,1,1
420727,0,1,1
420434,1,1,1
516551,2,2,2
553045,0,0,1
597943,0,0,0
605689,2,2,2
412616,2,1,2
539864,2,1,1
619272,2,2,2
426018,0,0,1
384448,0,1,0
605981,1,1,1
558598,2,2,1
411978,0,1,0
538312,0,0,1
426584,0,0,1
554196,2,2,2
429353,0,0,0
562773,0,0,1
622279,2,2,2
417249,0,2,0
233096,0,1,1
245503,1,1,1
604957,2,2,2
236592,1,1,1
562268,0,0,0
607518,2,0,0
605143,2,2,1
512987,2,2,2
390943,1,1,0
621830,2,2,2
615753,2,2,2
423158,0,0,1
507912,0,0,0
597840,0,0,1
400912,0,0,0
554628,0,2,2
244101,0,1,1
622238,2,2,2
408912,1,1,1
606831,2,1,1
225443,1,1,1
550317,2,2,1
615321,0,2,1
561712,2,2,1
550561,2,2,2
529204,0,2,2
551075,0,2,1
399383,1,1,1
225552,1,1,1
425593,1,0,1
608449,2,2,2
618328,2,2,2
566937,2,0,2
425523,0,0,0
566187,0,2,2
230849,1,1,1
605847,2,2,1
429902,0,0,0
381783,1,1,1
609958,0,0,0
228868,1,1,1
597703,2,2,2
560654,2,2,2
612667,2,2,2
251444,1,1,1
536714,1,1,1
613215,2,2,1
425999,0,0,1
416531,0,0,0
397727,1,1,1
537573,2,2,1
384293,0,0,0
402859,0,0,0
403912,0,0,1
218086,1,1,1
381501,0,1,1
545157,1,2,1
244452,1,1,1
600484,1,2,1
411941,1,0,0
514795,0,2,0
415711,0,0,1
230437,1,1,1
221430,1,1,1
549946,0,2,2
556712,0,2,2
536975,0,0,0
532562,0,0,0
240236,1,1,1
557654,2,2,2
554364,2,2,2
420303,1,1,1
225104,1,1,1
550237,0,1,0
619549,2,2,2
398513,0,0,1
425532,0,1,0
391132,0,0,0
405867,0,0,0
237153,1,1,1
560391,2,2,2
255568,1,1,1
557105,2,0,0
530063,2,2,2
510403,2,2,1
615750,2,2,1
622458,2,2,2
407409,0,0,1
618314,2,2,2
256488,1,1,1
506773,2,2,0
