District_name,District_code,State_code,State_name,ASSET_2001,ASSET_2003,ASSET_2005,ASSET_2007,ASSET_2009,ASSET_2011,ASSET_Actual_2001,Formal_EMP_2001,LIT_2001,ASSET_change
Samastipur,221,10,BIHAR,3,1,1,1,3,1,1,1,1,0
Begusarai,222,10,BIHAR,3,3,1,1,3,1,1,1,1,0
Khagaria,223,10,BIHAR,3,3,1,1,3,1,1,1,1,0
Bhagalpur,224,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Banka,225,10,BIHAR,1,1,1,1,1,1,1,1,1,0
Munger,226,10,BIHAR,3,3,1,1,3,1,1,2,1,0
Lakhisarai,227,10,BIHAR,3,3,3,1,3,1,1,1,1,0
Sheikhpura,228,10,BIHAR,3,3,3,3,3,3,1,1,1,0
Nalanda,229,10,BIHAR,1,3,1,1,3,1,1,1,1,0
Patna,230,10,BIHAR,1,1,1,1,2,2,1,2,1,1
Bhojpur,231,10,BIHAR,1,3,3,1,3,1,1,1,1,0
Buxar,232,10,BIHAR,1,3,1,1,3,1,1,1,1,0
Kaimur (Bhabua),233,10,BIHAR,2,1,1,1,1,1,1,1,1,0
Rohtas,234,10,BIHAR,1,2,1,1,2,2,1,1,1,1
Aurangabad,235,10,BIHAR,1,1,1,3,1,1,1,1,1,0
Gaya,236,10,BIHAR,1,1,1,1,2,1,1,1,1,0
Nawada,237,10,BIHAR,1,1,1,1,3,1,1,1,1,0
Jamui,238,10,BIHAR,1,1,1,1,3,1,1,1,1,0
Jehanabad ,239,10,BIHAR,3,3,3,3,3,3,1,1,1,0
North ,241,11,SIKKIM,2,3,3,3,3,2,1,3,1,1
West,242,11,SIKKIM,3,3,3,3,3,2,1,2,1,1
South,243,11,SIKKIM,3,3,3,3,3,3,1,2,1,1
East,244,11,SIKKIM,3,3,3,3,3,3,2,3,2,0
Tawang,245,12,ARUNACHAL PRADESH,3,3,2,2,3,3,1,3,1,0
West Kameng,246,12,ARUNACHAL PRADESH,1,3,1,2,3,2,1,3,1,1
East Kameng,247,12,ARUNACHAL PRADESH,1,3,3,3,3,3,1,2,1,0
Papum Pare,248,12,ARUNACHAL PRADESH,3,3,1,3,3,3,2,3,2,1
Upper Subansiri,249,12,ARUNACHAL PRADESH,3,3,1,1,1,1,1,2,1,0
West Siang,250,12,ARUNACHAL PRADESH,3,3,1,3,1,2,1,2,1,1
East Siang,251,12,ARUNACHAL PRADESH,3,3,1,3,1,2,1,3,1,1
Upper Siang,252,12,ARUNACHAL PRADESH,3,3,3,3,1,1,1,3,1,0
Changlang,253,12,ARUNACHAL PRADESH,1,3,3,3,1,2,1,2,1,0
