,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
31,31,2337,4117,990,388,267,285,439,307,50,0,698,3909,2126,679,389,278,235,565,301,0,187,2018,3234,1406,669,380,283,489,514,0,1172,2405,1805,1364,1069,769,451,126,19,0,153,930,1734,2186,1674,1204,817,440,42,0,1,287,467,729,860,756,1239,1923,1469,1449,1,266,490,718,837,816,1239,1914,1421,1478,52,474,1465,2207,1871,1187,747,714,463,0,1569,2729,1871,1025,605,343,352,571,115,0,1,434,726,524,706,1236,2077,2494,881,101,15,159,806,1878,2451,1968,1382,481,40,0,225,547,1106,1687,1927,2010,1154,429,91,4
32,32,3754,5246,2010,660,479,426,331,175,49,2,1365,4384,3384,1546,937,573,456,360,127,0,740,2669,3767,2398,1416,1005,665,382,90,0,2595,3633,2432,1826,1267,784,356,168,56,15,455,1544,2721,2570,2176,1721,1280,581,84,0,206,1011,768,1158,1838,1809,2557,2507,1171,107,209,957,760,1157,1669,2025,2765,2359,1124,107,327,1125,2221,2536,2339,1856,1542,995,191,0,2680,4045,2481,1435,981,752,522,223,11,0,20,204,757,1240,1765,2199,2572,2361,1609,405,74,727,1166,1914,2619,2980,2335,1097,207,13,520,1279,1699,1963,1982,2357,1838,1051,394,49
33,33,16605,3694,612,158,72,65,39,62,113,2676,12554,5219,1894,889,471,189,116,90,148,2526,8919,5304,2867,1603,1182,810,530,251,230,2400,12109,2868,1665,1219,979,891,774,784,542,2265,9320,3718,2164,1893,1678,1437,1508,1263,888,227,12137,6024,1495,1050,855,547,685,625,492,186,12128,5922,1589,1063,811,581,720,630,465,187,6772,3834,3044,2494,2042,1718,1704,1604,807,77,13589,2734,1458,1027,771,719,596,469,320,2413,2137,957,487,829,1430,2237,3335,4823,5486,2375,4846,3172,2414,2455,2961,2876,2329,1647,921,475,4123,2854,2513,2072,1575,1405,1271,1323,1617,5343
34,34,1600,655,457,306,282,304,306,352,631,25569,1794,669,433,335,321,314,330,447,1320,24499,1459,791,507,400,414,396,462,724,1972,23337,5168,974,508,420,411,413,395,564,767,20842,17437,4773,2273,1581,1110,918,734,650,621,365,29997,438,14,10,3,0,0,0,0,0,29992,439,18,10,3,0,0,0,0,0,9044,4942,3857,3016,2434,2057,1762,1492,1209,649,3316,616,411,389,308,349,369,501,1384,22819,22768,4916,595,479,396,322,321,310,305,50,24822,929,626,536,535,576,546,549,497,846,392,235,216,181,198,272,305,410,736,27517
35,35,2,473,560,228,232,691,4679,8878,1383,2,38,637,378,236,276,609,2718,9633,2603,0,92,650,426,267,527,1485,5236,7915,530,0,389,774,1464,2832,3517,4272,3083,742,50,5,155,302,832,1973,3244,5272,3845,1346,158,1,22,155,569,2237,1965,7810,3259,877,219,15,22,135,640,2128,2182,6206,4604,1003,194,14,90,360,648,964,1978,4205,5628,2776,477,2,206,420,325,419,588,2015,7012,5992,151,0,149,1046,5381,5367,2380,1207,524,453,570,51,22,198,1345,2826,4102,4268,2951,1171,237,8,2,22,238,584,998,1855,3336,4986,4617,490
36,36,0,0,39,39,24,79,850,3859,2907,11,0,7,43,30,15,25,150,4085,3451,2,0,50,31,22,23,110,1358,4220,1994,0,284,762,1059,1420,1292,1546,996,408,41,0,81,90,62,185,649,2790,3086,853,12,0,0,2,23,75,124,3300,2888,1121,257,18,0,1,30,64,148,2278,3789,1255,229,14,51,62,59,56,179,740,3122,2964,575,0,13,35,46,90,143,560,2214,4479,228,0,340,2459,2604,1482,616,182,44,34,42,5,48,64,133,426,1234,2093,1971,1169,521,149,0,0,0,6,29,419,2175,3465,1496,218
37,37,0,0,1,5,11,238,2820,7390,1744,18,0,0,1,7,4,22,662,9199,2332,0,0,0,7,7,16,327,3648,7324,898,0,156,693,1207,2031,2488,3239,1905,477,31,0,0,4,71,363,1778,5416,4088,472,35,0,0,0,0,23,217,4108,4670,2461,634,114,0,0,0,23,196,3330,5323,2662,581,112,0,4,8,40,347,1921,5705,3827,371,4,0,3,18,150,325,1220,4422,5917,172,0,113,1717,4678,3918,1424,324,42,11,0,0,0,4,74,902,3114,4462,2542,875,199,55,0,0,1,20,64,688,3728,5503,2041,182
38,38,0,295,1916,758,629,1777,6630,3208,631,8,0,1471,1160,506,634,1200,4002,6235,643,1,44,2249,706,495,1228,3287,5067,2399,377,0,260,1044,1154,2036,3512,4698,2675,415,58,0,74,1491,949,1247,2327,4221,3964,1453,126,0,0,35,203,1173,1420,3713,3897,4561,848,2,0,8,284,1026,1631,2952,4197,4991,761,2,334,1703,645,660,1340,2611,4049,3753,756,1,156,1243,862,853,1390,3579,5359,2314,96,0,144,515,1315,3363,3964,2483,1025,861,2016,166,16,882,1584,1972,3579,4040,2596,892,239,52,1,59,278,710,1437,2879,4408,4686,1252,142
39,39,0,23,166,113,186,455,1584,2866,698,4,0,91,138,122,169,242,1013,3558,761,1,2,102,144,143,198,477,1902,2652,475,0,100,489,488,835,1107,1652,1121,301,2,0,2,42,125,283,409,1523,2482,1142,87,0,0,0,2,36,103,1026,1091,2132,1473,232,0,0,2,35,111,815,1204,2244,1459,225,3,63,63,145,241,392,1462,2926,799,1,10,155,113,149,242,590,2400,2281,155,0,47,574,1679,1887,1062,465,214,91,76,0,0,4,51,211,870,1927,2064,832,131,5,0,17,184,372,708,1447,1932,1098,265,72
40,40,0,0,0,0,1,124,1632,3057,519,1,0,0,0,0,9,165,1308,3097,755,0,0,0,0,11,160,802,1553,2162,646,0,609,1177,966,969,728,568,257,59,1,0,0,38,182,511,1077,1700,1297,504,25,0,0,0,0,1,183,1619,1253,1363,908,7,0,0,0,3,205,1384,1484,1280,968,10,0,0,9,82,283,652,1235,2316,756,1,0,16,105,314,698,1306,1634,1154,107,0,165,1876,1570,984,513,177,35,14,0,0,0,6,69,355,748,1082,1264,1173,539,98,0,0,1,20,177,639,1401,1994,979,123
41,41,0,0,0,17,66,361,4786,9655,1844,13,0,0,2,25,63,1127,5197,8541,1787,0,0,0,26,1540,1844,2161,4545,5812,814,0,338,752,1489,2495,2962,3351,2339,2139,876,1,5,585,2091,2372,3031,4973,3283,390,12,0,0,0,2,278,2669,8904,3238,1063,497,91,0,0,7,278,2992,7762,4029,1117,477,80,3,69,800,1151,1862,3047,4899,4444,466,1,1,33,168,306,653,2340,6302,6857,82,0,214,1048,4626,4252,1848,1178,1399,1780,397,0,284,2082,1636,1635,3265,4672,2622,509,35,2,0,2,15,27,146,771,3647,5641,5323,1170
42,42,0,0,0,0,0,3,1832,6443,2667,16,0,0,0,0,0,78,4268,4735,1880,0,0,0,0,948,2599,2224,1869,2569,752,0,2,34,48,105,259,810,2335,4915,2444,9,0,685,3059,2227,1547,1872,1275,266,30,0,0,0,0,636,3942,5625,629,104,25,0,0,0,11,624,4563,4777,856,109,21,0,0,86,1552,1936,2084,2056,1923,1223,93,8,0,0,0,1,8,42,528,8924,1458,0,5,188,1136,1089,1361,1660,2331,2848,343,0,554,4162,2183,1484,1279,897,340,31,15,16,0,14,15,9,8,107,807,2489,5472,2040
