,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
32,32,9774,2210,498,243,213,88,47,15,33,11,8185,3157,807,406,325,131,63,21,37,0,6874,3662,1092,623,438,254,132,42,15,0,2567,1906,1788,1287,1568,1447,1068,932,495,74,3473,3554,1963,1329,983,748,630,355,95,2,1025,8312,2074,1245,321,117,29,8,1,0,1055,7760,2913,926,333,95,42,7,1,0,3323,4014,2064,1146,883,754,572,306,70,0,5856,2576,1485,1146,851,636,370,200,12,0,19,37,60,70,142,317,648,1479,4437,5923,1596,4218,2736,1927,1361,815,337,125,17,0,1880,1669,1374,1251,1244,1357,1530,1471,1088,268
33,33,12022,3612,1083,302,180,78,86,77,120,2822,9451,3680,1714,1002,810,412,237,116,191,2662,6977,4103,1935,1317,989,923,703,399,304,2520,7761,1817,1138,883,1027,1082,1104,1207,1331,2685,9030,2875,1476,1110,1037,1070,1076,1060,805,141,13231,4909,578,381,164,94,28,29,29,20,13362,4682,807,297,153,84,35,20,23,17,7211,3286,2331,1470,1310,1181,1151,1117,692,56,9238,2083,1267,980,877,836,867,1108,666,2545,2656,485,378,569,909,1573,2374,3560,4761,2770,7738,2833,1901,1595,1640,1526,1232,732,344,137,2739,2009,1477,1056,873,854,862,1036,1381,7392
34,34,1513,945,746,395,600,477,607,764,1240,23175,1033,876,513,505,437,535,654,862,2235,22812,776,859,500,446,451,612,646,1217,3215,21740,3888,1371,806,631,784,746,901,1023,1304,19008,17987,4460,1948,1491,1214,973,786,772,574,257,29590,823,30,17,2,0,0,0,0,0,29617,790,40,12,3,0,0,0,0,0,8948,5606,4127,2651,2248,1898,1707,1619,1177,481,2022,818,650,574,635,502,760,1040,2295,21166,24201,2452,742,580,477,417,468,485,538,102,24330,1648,1087,827,748,631,522,385,204,80,80,146,179,192,189,236,360,537,1096,27447
35,35,5,716,477,172,270,945,5547,7597,1397,2,6,610,558,631,1542,3605,6662,3247,267,0,36,766,753,1178,3299,4967,4690,1386,53,0,726,4624,5250,2748,2103,842,584,202,49,0,165,806,2679,5432,4880,2426,598,129,13,0,0,61,115,2733,5054,5219,2840,967,127,12,0,53,250,2316,5601,4116,3513,1146,120,13,75,244,1341,2748,4846,5281,2036,508,49,0,211,586,2361,4204,4753,3794,1028,170,21,0,174,1062,4080,4828,3118,1659,839,628,675,65,35,202,1768,3794,4621,4529,1883,274,20,2,1,17,74,328,712,1025,2189,6015,5938,829
36,36,0,0,7,53,35,223,2890,3671,915,14,0,2,33,50,226,1254,3681,2327,233,2,0,38,61,132,1173,2574,2694,1049,87,0,512,2644,1990,1060,855,387,264,75,12,9,45,441,1332,2621,2018,1077,251,22,1,0,0,13,7,109,1069,3312,1549,1203,534,12,0,6,23,81,1246,2550,2039,1366,489,8,18,79,160,576,1924,3019,1685,330,17,0,10,152,985,1507,2103,1856,958,211,26,0,65,1186,2397,1926,1207,697,226,55,39,10,35,115,579,1623,2428,2087,823,114,4,0,0,0,0,3,35,230,845,2255,3723,717
37,37,0,0,0,7,169,1655,7168,2631,589,8,0,2,3,216,1364,4036,5112,1264,230,0,0,3,13,335,2481,4850,3691,807,47,0,730,3482,3458,2097,1548,540,270,95,7,0,0,176,1069,3767,4436,2387,328,52,12,0,0,0,0,24,1143,4753,3078,2582,627,20,0,0,1,20,1353,3680,3700,2886,568,19,0,3,58,535,2388,5331,3425,457,29,1,4,167,1450,2606,3748,2774,1198,268,12,0,104,966,3393,3555,2476,1233,445,54,1,0,0,24,438,2094,3676,3455,1939,518,71,12,0,0,4,31,96,621,3248,5480,2444,303
38,38,0,649,1832,619,1317,3069,5481,2625,260,0,22,2244,901,1279,2041,4169,4230,896,70,0,25,2195,1424,2256,4321,3294,1980,350,7,0,1572,1945,2587,3649,4573,1161,313,52,0,0,69,1145,2586,4649,4426,2247,612,114,4,0,0,19,36,556,1867,6143,5513,1619,95,4,0,16,73,475,2067,4442,6680,2011,85,3,16,569,2359,2819,4215,3937,1499,406,32,0,1768,981,1802,2933,4065,3355,834,113,1,0,59,379,989,1823,3090,3965,2974,1717,853,3,1,74,1459,4806,5343,2903,980,252,31,3,0,10,157,500,1209,2158,4066,5414,2139,199
39,39,0,77,210,182,431,877,1949,2125,240,4,0,203,221,324,642,1316,2199,1122,68,0,17,301,383,638,1044,1594,1737,370,11,0,72,527,1367,1578,1764,615,160,12,0,0,2,151,476,1255,2486,1493,213,19,0,0,0,2,62,2900,1884,1085,143,19,0,0,0,2,293,2608,2060,886,226,20,0,0,1,258,240,580,1443,2542,924,102,5,0,83,160,392,866,1904,2074,562,54,0,0,17,167,773,1433,1404,864,762,404,270,1,0,42,311,1137,2488,1720,361,34,2,0,0,1,19,80,232,565,1500,2802,795,101
40,40,0,0,6,171,849,2167,1852,258,31,0,0,0,11,106,850,2142,1914,305,6,0,0,16,143,531,1535,1771,1077,261,0,0,80,138,350,775,1215,1442,918,320,69,27,0,87,277,1231,1909,1415,406,9,0,0,0,2,425,2100,2198,575,34,0,0,0,0,1,474,2104,2054,662,39,0,0,0,0,10,58,259,935,1841,1694,532,5,0,4,32,67,228,953,1377,1458,1139,76,0,5,63,229,688,1268,1508,1125,398,49,1,3,123,676,1635,1753,920,212,11,1,0,0,0,2,14,183,875,1871,1793,505,91
41,41,0,0,104,1505,4578,5117,3371,1512,555,0,0,9,118,1161,4533,5662,3578,1428,253,0,0,37,435,2518,4800,4379,3602,943,28,0,638,1778,3197,3786,3331,2510,1240,257,5,0,12,357,1473,4812,6730,2903,375,68,12,0,0,16,124,2101,5888,6242,1853,355,162,1,0,18,182,2064,5446,6503,1989,398,142,0,3,41,182,776,3208,6602,4761,1094,73,2,6,222,900,2636,6171,5179,1479,143,6,0,243,648,1708,3153,3552,3703,2819,837,79,0,2,172,1603,4442,5355,3467,1413,227,48,13,0,13,19,55,320,1836,5765,6415,1815,504
