census_code,predictions_2011,predictions_2013,predictions_2015,predictions_2017,predictions_2019
59,1,1,1,1,1
465,1,1,1,1,1
404,1,1,1,1,1
282,3,1,3,3,3
99,2,2,2,2,2
242,1,1,1,1,1
623,3,1,1,1,1
275,1,3,1,1,1
387,2,1,1,1,1
519,3,3,3,3,3
492,3,3,3,3,3
137,2,1,3,1,1
614,3,1,1,1,1
30,1,1,1,3,3
196,2,2,3,2,2
414,1,1,1,1,1
512,1,1,1,1,3
495,3,3,3,3,3
609,3,1,1,1,1
409,1,1,1,1,1
63,1,1,1,3,3
510,1,3,1,1,1
357,3,1,1,2,1
64,1,1,1,1,1
182,1,1,1,1,1
70,3,3,3,2,3
122,1,1,1,1,1
462,1,1,1,1,1
65,1,1,1,1,1
403,1,1,1,1,1
472,1,1,1,1,1
292,1,1,1,1,3
372,1,1,1,1,1
60,3,3,1,1,1
611,3,1,1,3,1
62,1,1,1,1,1
532,1,1,1,1,1
238,2,2,1,2,1
542,1,1,1,1,1
186,2,3,2,2,3
454,1,1,1,1,1
568,1,1,1,1,1
302,1,2,1,1,1
361,2,2,2,1,1
111,1,1,2,2,2
375,1,1,1,1,1
274,1,1,1,1,1
626,1,1,1,1,1
156,1,2,2,2,2
197,3,2,3,3,2
206,2,2,3,2,2
97,3,3,3,3,3
50,2,2,2,3,3
522,1,3,1,1,1
246,1,1,1,1,3
399,1,1,1,1,1
531,3,1,1,3,3
324,1,1,1,1,1
177,1,2,2,2,2
630,1,1,1,1,1
464,1,1,1,1,1
306,1,1,1,1,1
548,3,1,1,1,1
509,1,1,1,1,1
90,3,3,3,3,3
379,2,2,2,2,2
575,1,1,1,1,1
601,1,3,3,1,1
529,1,1,1,1,1
45,3,3,2,3,3
633,3,1,1,1,1
622,1,1,1,1,1
29,1,1,3,1,3
635,3,3,3,3,3
181,1,2,1,1,2
209,2,2,2,2,1
316,1,1,1,1,1
72,3,2,3,2,3
579,1,1,1,1,1
477,3,3,3,3,3
36,3,3,2,3,3
356,1,1,1,1,1
208,2,2,2,1,1
523,1,1,1,1,1
113,1,2,2,2,2
620,1,3,3,3,1
314,1,1,1,1,1
349,2,2,1,1,1
415,1,1,1,1,1
38,3,3,1,1,1
157,3,2,2,3,2
431,1,1,1,1,1
434,1,1,1,3,1
108,2,1,1,1,1
631,1,1,1,1,1
437,1,1,1,1,1
452,1,1,1,1,1
560,1,1,1,1,1
505,3,3,1,1,3
448,1,1,1,1,3
105,2,2,1,2,2
539,1,1,1,1,1
413,1,1,1,1,1
360,2,1,1,1,1
200,1,1,1,1,1
408,1,1,1,1,1
67,1,3,1,1,3
221,2,2,2,2,2
110,3,1,1,1,1
498,1,1,1,1,1
220,2,3,2,2,2
463,1,1,1,1,1
591,1,3,1,1,1
396,1,1,1,1,1
239,2,2,3,3,2
93,3,3,3,3,3
370,1,1,1,1,1
118,1,1,1,1,1
343,2,2,2,2,1
604,3,1,1,2,2
83,3,2,3,3,3
496,3,3,3,3,3
617,1,1,1,1,1
629,1,3,1,1,3
212,2,1,1,2,1
347,1,1,1,1,1
236,2,2,2,1,2
216,2,3,3,2,2
201,2,2,2,1,2
373,1,1,1,1,1
121,1,1,3,2,1
430,2,1,1,2,1
597,1,1,1,3,1
9,1,1,1,1,1
58,1,1,1,1,1
280,1,1,1,1,1
580,1,1,1,1,1
210,2,1,2,2,2
129,1,1,1,3,1
82,3,3,3,3,3
499,3,3,1,3,3
102,1,1,2,1,2
429,1,1,1,1,1
219,2,3,3,2,2
433,1,1,1,1,1
585,3,3,1,3,3
171,1,2,2,1,1
607,1,1,1,1,1
565,1,1,1,1,1
348,1,2,1,1,1
552,1,1,1,2,1
106,2,2,1,2,1
109,1,1,1,1,1
423,1,1,1,1,1
334,2,2,2,1,2
289,1,1,1,1,1
456,1,1,1,1,1
535,1,1,1,1,1
627,3,3,1,1,1
389,1,1,1,1,1
359,1,1,1,1,1
329,1,1,1,1,1
168,2,1,2,2,2
12,1,1,1,3,1
185,1,2,2,2,2
419,2,3,1,1,2
211,2,2,2,2,1
346,1,1,1,1,1
92,3,3,3,3,3
213,2,2,2,2,3
188,1,3,2,2,1
