Unnamed: 0,Unnamed: 0_x,STATE_x,NAME_x,District,EMP_2011_x,EMP_2001_x,MSW_2011_x,MSW_2001_x,BF_2011_x,BF_2001_x,MSL_2011_x,MSL_2001_x,FC_2011_x,FC_2001_x,CHH_2011,CHH_2001,F_EMP_2001,F_EMP_2011,Unnamed: 0.1,Unnamed: 0_x.1,district_id_x,BF_2001_y,BF_2003,BF_2005,BF_2007,BF_2009,BF_2011_y,Unnamed: 0_y,EMP_2001_y,EMP_2003,EMP_2005,EMP_2007,EMP_2009,EMP_2011_y,Unnamed: 0_x.1.1,FC_2001_y,FC_2003,FC_2005,FC_2007,FC_2009,FC_2011_y,Unnamed: 0_y.1,MSL_2001_y,MSL_2003,MSL_2005,MSL_2007,MSL_2009,MSL_2011_y,Unnamed: 0.1.1,MSW_2001_y,MSW_2003,MSW_2005,MSW_2007,MSW_2009,MSW_2011_y,STATE_y,Name,NAME_y,ASSET_2011_x,ASSET_2001_x,Unnamed: 0_y.1.1,district_id_y,ASSET_2001_y,ASSET_2003,ASSET_2005,ASSET_2007,ASSET_2009,ASSET_2011_y
211,211,10,Lakhisarai,227,1,1,2,2,1,1,1,1,2,2,1,1,2,2,226,226,227,3,3,3,1,3,1,226,3,1,3,1,3,1,226,3,3,3,3,1,2,226,3,3,3,3,3,1,226,3,3,3,3,3,2,10,BIHAR,Lakhisarai,1,1,226,227,3,3,3,1,3,1
212,212,10,Sheikhpura,228,1,2,2,2,1,1,1,1,2,2,1,1,2,2,227,227,228,3,3,1,3,3,1,227,3,3,1,1,3,1,227,3,3,3,1,1,2,227,3,3,3,3,3,1,227,3,3,3,3,3,2,10,BIHAR,Sheikhpura,1,1,227,228,3,3,3,3,3,3
213,213,10,Nalanda,229,1,2,2,2,1,1,1,1,2,2,1,1,2,2,228,228,229,2,3,1,1,2,1,228,3,3,1,1,1,1,228,3,2,2,1,3,2,228,3,3,3,1,2,1,228,3,3,2,2,3,2,10,BIHAR,Nalanda,1,1,228,229,1,3,1,1,3,1
214,214,10,Patna,230,1,1,2,2,3,2,2,2,2,2,2,2,1,2,229,229,230,2,1,1,1,2,1,229,1,1,1,1,1,1,229,3,2,2,1,1,2,229,2,3,3,1,2,1,229,2,3,3,2,3,2,10,BIHAR,Patna,2,1,229,230,1,1,1,1,2,2
215,215,10,Bhojpur,231,1,1,2,2,1,1,1,1,2,2,1,1,1,2,230,230,231,2,1,1,1,1,1,230,1,1,1,1,3,1,230,2,2,2,1,3,2,230,1,2,1,3,1,1,230,3,3,3,2,3,2,10,BIHAR,Bhojpur,1,1,230,231,1,3,3,1,3,1
216,216,10,Buxar,232,1,1,2,2,1,1,1,1,2,2,1,1,1,2,231,231,232,1,2,1,3,1,1,231,1,1,1,1,1,1,231,2,2,2,1,3,2,231,3,2,1,1,1,1,231,2,3,2,2,3,2,10,BIHAR,Buxar,1,1,231,232,1,3,1,1,3,1
217,217,10,Kaimur (Bhabua),233,1,1,2,2,1,1,1,1,2,2,1,1,2,2,232,232,233,1,1,1,1,1,1,232,2,1,1,2,2,1,232,1,1,1,1,1,2,232,3,3,1,2,3,1,232,2,2,2,2,3,2,10,BIHAR,Kaimur (Bhabua),1,1,232,233,2,1,1,1,1,1
218,218,10,Rohtas,234,1,1,2,2,1,1,1,1,2,2,1,1,1,2,233,233,234,1,1,1,1,1,1,233,1,1,1,2,1,1,233,1,1,1,3,1,2,233,3,3,1,3,2,1,233,2,3,2,2,3,2,10,BIHAR,Rohtas,2,1,233,234,1,2,1,1,2,2
219,219,10,Aurangabad,235,1,1,2,2,1,1,1,1,2,2,1,1,2,2,234,234,235,1,2,1,1,1,1,234,1,1,1,1,2,1,234,3,1,2,1,3,2,234,1,3,3,3,3,1,234,2,3,3,3,3,2,10,BIHAR,Aurangabad,1,1,234,235,1,1,1,3,1,1
220,220,10,Gaya,236,1,2,2,2,1,1,1,1,2,2,1,1,2,2,235,235,236,1,1,1,1,1,1,235,1,1,1,1,2,1,235,1,1,1,1,1,2,235,2,2,2,2,3,1,235,2,2,2,3,3,2,10,BIHAR,Gaya,1,1,235,236,1,1,1,1,2,1
221,221,10,Nawada,237,1,2,2,2,1,1,1,1,2,2,1,1,2,2,236,236,237,1,1,1,1,1,1,236,1,1,1,1,2,1,236,3,3,1,1,1,2,236,3,2,3,3,3,1,236,3,3,3,2,3,2,10,BIHAR,Nawada,1,1,236,237,1,1,1,1,3,1
222,222,10,Jamui,238,1,2,2,1,1,1,1,1,2,2,1,1,3,2,237,237,238,1,1,1,1,1,1,237,1,2,1,2,1,2,237,1,1,1,1,1,2,237,2,2,1,3,3,1,237,2,3,1,3,3,2,10,BIHAR,Jamui,1,1,237,238,1,1,1,1,3,1
